,Country,Total confirmed cases
0,Spain,3125
1,United States,2883
2,Germany,2352
3,England,2115
4,France,1562
5,Brazil,813
6,Netherlands,712
7,Canada,681
8,Portugal,588
9,Italy,407
10,Belgium,311
11,Switzerland,234
12,Peru,143
13,Israel,114
14,Democratic Republic Of The Congo,107
15,Nigeria,101
16,Austria,99
17,Sweden,77
18,Ireland,69
19,Denmark,59
20,Scotland,54
21,Mexico,48
22,Norway,46
23,Australia,42
24,Poland,40
25,Chile,39
26,Hungary,32
27,Slovenia,27
28,Wales,24
29,Greece,20
30,Romania,20
31,Argentina,18
32,Ghana,18
33,Malta,17
34,United Arab Emirates,16
35,Northern Ireland,15
36,Luxembourg,14
37,Czech Republic,14
38,Finland,13
39,Colombia,10
40,Central African Republic,8
41,Puerto Rico,8
42,Singapore,8
43,Croatia,7
44,Iceland,6
45,Cameroon,6
46,Gibraltar,5
47,Serbia,5
48,Estonia,4
49,Slovakia,3
50,Dominican Republic,3
51,Bulgaria,3
52,Latvia,3
53,Benin,3
54,South Africa,3
55,Taiwan,2
56,Republic of Congo,2
57,Ecuador,2
58,Jamaica,2
59,New Zealand,2
60,India,2
61,South Korea,1
62,Saudi Arabia,1
63,Bermuda,1
64,Qatar,1
65,Costa Rica,1
66,Barbados,1
67,Martinique,1
68,Morocco,1
69,Bosnia And Herzegovina,1
70,Russia,1
71,Venezuela,1
72,Panama,1
73,Turkey,1
74,Georgia,1
75,Lebanon,1
76,Japan,1
