,Country,Total suspected cases
0,United States,7084
1,Spain,4942
2,Germany,2887
3,England,2551
4,France,2239
5,Brazil,1721
6,Netherlands,957
7,Canada,892
8,Portugal,710
9,Italy,545
10,Belgium,482
11,Peru,340
12,Switzerland,316
13,Democratic Republic Of The Congo,163
14,Austria,160
15,Israel,160
16,Nigeria,133
17,Sweden,111
18,Denmark,108
19,Ireland,97
20,Mexico,91
21,Chile,68
22,Scotland,65
23,Norway,65
24,Poland,63
25,Australia,54
26,Hungary,42
27,Slovenia,38
28,Ghana,35
29,Greece,33
30,Argentina,32
31,Wales,32
32,Luxembourg,30
33,Colombia,26
34,Czech Republic,25
35,Northern Ireland,24
36,Romania,22
37,Puerto Rico,21
38,Finland,20
39,Malta,17
40,United Arab Emirates,16
41,Singapore,15
42,Croatia,12
43,Iceland,10
44,Serbia,10
45,Estonia,8
46,Central African Republic,8
47,India,8
48,Ecuador,7
49,Cameroon,7
50,Slovakia,6
51,Gibraltar,5
52,Thailand,4
53,Lebanon,4
54,Saudi Arabia,4
55,Dominican Republic,4
56,Bulgaria,4
57,Andorra,3
58,New Zealand,3
59,Costa Rica,3
60,Benin,3
61,Bolivia,3
62,Latvia,3
63,South Africa,3
64,Jamaica,2
65,Taiwan,2
66,China,2
67,Uruguay,2
68,Japan,2
69,Republic of Congo,2
70,Qatar,2
71,Sudan,1
72,Lithuania,1
73,Philippines,1
74,Guadeloupe,1
75,Montenegro,1
76,Cyprus,1
77,Liberia,1
78,Georgia,1
79,Bermuda,1
80,Barbados,1
81,Martinique,1
82,Bosnia And Herzegovina,1
83,Russia,1
84,New Caledonia,1
85,Panama,1
86,Turkey,1
87,South Korea,1
88,Venezuela,1
89,Morocco,1
90,Guatemala,1
